system,case_id,setting,runs,valid_runs,invalid_runs,mean_runtime_seconds,std_runtime_seconds,mean_phase1_elements,std_phase1_elements,mean_phase2_steps,std_phase2_steps,mean_phase3_elements,std_phase3_elements,mean_conflict_resolution_rate,std_conflict_resolution_rate,mean_topology_valid,std_topology_valid
mare,Bookkeeping,multi_agent_without_negotiation,3,0,3,0.058542,0.012884,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,Bookkeeping,negotiation_integration_verification,3,0,3,0.092929,0.00134,21.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,Bookkeeping,single_agent,3,3,0,0.026537,0.007116,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
mare,Library,multi_agent_with_negotiation,3,0,3,0.05606,0.008486,21.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
mare,Library,multi_agent_without_negotiation,3,0,3,0.038688,0.002647,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,Library,negotiation_integration_verification,3,0,3,0.08306,0.00861,21.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,Library,single_agent,3,3,0,0.028819,0.009442,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
mare,RollCall,multi_agent_with_negotiation,3,0,3,0.104416,0.009587,21.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
mare,RollCall,multi_agent_without_negotiation,3,0,3,0.049309,0.011843,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,RollCall,negotiation_integration_verification,3,0,3,0.084239,0.001628,21.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,RollCall,single_agent,3,3,0,0.026296,0.008819,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
quare,AD,multi_agent_with_negotiation,3,0,3,0.154923,0.021599,35.0,0.0,14.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
quare,AD,multi_agent_without_negotiation,3,3,0,0.064611,0.026778,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,AD,negotiation_integration_verification,3,0,3,0.152752,0.008835,35.0,0.0,14.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0
quare,AD,single_agent,3,3,0,0.051313,0.018568,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,ATM,multi_agent_with_negotiation,3,0,3,0.143105,0.042074,35.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,ATM,multi_agent_without_negotiation,3,3,0,0.076275,0.012192,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,ATM,negotiation_integration_verification,3,0,3,0.138615,0.006897,35.0,0.0,10.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,ATM,single_agent,3,3,0,0.022985,0.004227,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,Bookkeeping,multi_agent_with_negotiation,3,0,3,0.137561,0.002585,35.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,Bookkeeping,multi_agent_without_negotiation,3,3,0,0.0704,0.003461,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,Bookkeeping,negotiation_integration_verification,3,0,3,0.131224,0.006045,35.0,0.0,10.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,Bookkeeping,single_agent,3,3,0,0.025893,0.011734,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
quare,Library,multi_agent_with_negotiation,3,0,3,0.116149,0.003719,35.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,Library,multi_agent_without_negotiation,3,3,0,0.052774,0.005078,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,Library,negotiation_integration_verification,3,0,3,0.120591,0.009384,35.0,0.0,10.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,Library,single_agent,3,3,0,0.024215,0.011259,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,RollCall,multi_agent_with_negotiation,3,0,3,0.112837,0.005305,35.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
quare,RollCall,multi_agent_without_negotiation,3,3,0,0.051923,0.001719,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,RollCall,negotiation_integration_verification,3,0,3,0.120703,0.015565,35.0,0.0,10.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0
quare,RollCall,single_agent,3,3,0,0.023507,0.009852,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
